step,score_mean,reward_mean,step_s,gen_s,response_len_mean,response_len_max,exceed_sample_ratio,accepted_groups,rejected_groups
1,0.494140625,0.494140625,293.66404654458165,168.53202977403998,1032.662109375,6544.0,0.03125,64.0,46.0
2,0.5,0.5,293.38022271730006,175.4693867554888,1234.14453125,9760.0,0.025390625,64.0,41.0
3,0.462890625,0.462890625,325.651762903668,192.5583490980789,1197.9765625,10063.0,0.015625,64.0,42.0
4,0.453125,0.453125,367.9912389665842,228.34414650406688,1635.193359375,13262.0,0.037109375,64.0,57.0
5,0.43359375,0.43359375,348.83493036963046,216.23320414870977,1275.2578125,10934.0,0.0390625,64.0,53.0
6,0.4453125,0.4453125,379.25468102749437,248.0215967008844,1852.32421875,15893.0,0.01953125,64.0,40.0
7,0.41015625,0.41015625,372.0402784040198,239.11142120603472,1481.421875,11446.0,0.0625,64.0,38.0
8,0.44921875,0.44921875,375.2737880051136,243.4750914601609,1667.365234375,11820.0,0.0234375,64.0,47.0
9,0.478515625,0.478515625,376.7655415022746,248.6159138334915,1550.142578125,15040.0,0.03125,64.0,36.0
10,0.388671875,0.388671875,431.82537397462875,283.3756842976436,2101.09765625,16384.0,0.015625,64.0,57.0
11,0.4375,0.4375,351.1943881595507,225.83472308143973,1452.697265625,12058.0,0.029296875,64.0,46.0
12,0.419921875,0.419921875,418.48767143767327,276.0706292660907,1988.435546875,16384.0,0.021484375,64.0,60.0
13,0.44140625,0.44140625,344.0864885142073,223.4567191665992,1311.2734375,11208.0,0.03515625,64.0,43.0
14,0.4140625,0.4140625,417.6932962751016,285.4362664464861,1904.98046875,16384.0,0.033203125,64.0,61.0
15,0.431640625,0.431640625,382.1845760885626,263.39984234049916,1627.361328125,14189.0,0.02734375,64.0,49.0
16,0.474609375,0.474609375,424.7463452834636,287.2347114821896,2039.005859375,16384.0,0.02734375,64.0,57.0
17,0.4453125,0.4453125,449.0530786179006,299.02685397677124,2430.912109375,16384.0,0.03125,64.0,56.0
18,0.537109375,0.537109375,439.28164014872164,300.6761619858444,2106.369140625,16384.0,0.025390625,64.0,40.0
19,0.44921875,0.44921875,467.0409085759893,312.89432410150766,2660.51171875,16384.0,0.025390625,64.0,75.0
20,0.451171875,0.451171875,404.10466957837343,276.85123209655285,1485.486328125,16384.0,0.02734375,64.0,52.0
21,0.40234375,0.40234375,425.0629927543923,288.45353037212044,2083.08984375,16384.0,0.03125,64.0,46.0
22,0.4765625,0.4765625,413.6238125190139,283.97773795295507,1851.763671875,16384.0,0.052734375,64.0,53.0
23,0.4765625,0.4765625,420.1684836214408,276.56085070502013,1892.171875,16384.0,0.029296875,64.0,39.0
24,0.544921875,0.544921875,432.44558472093195,297.2186676003039,2075.671875,16384.0,0.01171875,64.0,52.0
25,0.486328125,0.486328125,442.2942298464477,301.82239083200693,2049.234375,16384.0,0.013671875,64.0,70.0
26,0.458984375,0.458984375,420.9068403830752,285.97245143167675,2156.30859375,16384.0,0.025390625,64.0,53.0
