step,reward,turn_limit_count,other_exceed_count,empty_prediction_count,exceed_ratio_metric,response_clip_ratio,response_length_mean,response_length_max,num_turns_mean,num_turns_max,step_time_s,gen_time_s,old_log_prob_time_s,update_actor_time_s,throughput,actor_mfu,actor_infer_mfu,reason_counts
1,0.486328125,0,0,0,0.0,0.0,955.240234375,6300.0,5.5234375,20,276.31033999845386,160.46369149535894,50.37708032131195,58.91641651559621,595.1582376574116,0.5150799875663168,0.15645752308802416,none
2,0.51171875,0,0,0,0.0,0.0,1385.943359375,10380.0,5.53515625,22,310.1584054045379,190.412529299967,45.70874144230038,67.15865310747176,654.4990284407424,0.5440103378489941,0.2977220405722022,none
3,0.44921875,1,0,2,0.001953125,0.0,1390.796875,12719.0,5.77734375,24,342.1344117689878,210.07839840929955,51.67136181611568,73.74552628863603,613.0514580965986,0.5341534507729927,0.24254880473142895,assistant_turn_limit_with_tool_call:1
4,0.44140625,5,0,5,0.009765625,0.0,1536.78515625,15118.0,6.08203125,24,371.87343387305737,233.5519751366228,51.37555347569287,80.37792147416621,613.241574222929,0.5176127717366872,0.2939731891701122,assistant_turn_limit_with_tool_call:5
5,0.439453125,2,0,2,0.00390625,0.0,1583.048828125,12102.0,5.8125,24,355.5530279641971,212.9480741918087,55.69525001384318,80.65429766848683,653.8662498000448,0.5236774652825562,0.25671466432538265,assistant_turn_limit_with_tool_call:2
6,0.470703125,3,0,2,0.005859375,0.0,1307.646484375,11055.0,5.92578125,24,351.9604101795703,222.81617389433086,50.898342608474195,71.86613787803799,580.7567245864765,0.543268998045991,0.29296650888736925,assistant_turn_limit_with_tool_call:3
7,0.4296875,1,0,1,0.001953125,0.00390625,1572.501953125,16384.0,6.2421875,24,400.7586714476347,267.5663760052994,50.99419523589313,75.449199100025,566.3910507040874,0.5509646973357323,0.300629458120777,assistant_turn_limit_with_tool_call:1
8,0.44140625,1,0,1,0.001953125,0.0,1364.388671875,12218.0,5.67578125,24,351.2563615841791,227.34694679174572,47.78486397769302,69.5827821297571,598.9838135631262,0.5526825219420795,0.30178687127311726,assistant_turn_limit_with_tool_call:1
9,0.44921875,1,0,1,0.001953125,0.0,1305.263671875,13028.0,6.01171875,24,387.1772673772648,262.07111842464656,46.353508930653334,71.43006095662713,519.9398104224053,0.5339043931743738,0.29907713632714544,assistant_turn_limit_with_tool_call:1
10,0.392578125,4,0,4,0.0078125,0.0,1793.6953125,14218.0,6.203125,24,414.82593233603984,270.1184551753104,55.14340854994953,80.56533919554204,581.939269419746,0.543966384431396,0.30116883066825184,assistant_turn_limit_with_tool_call:4
11,0.494140625,2,0,2,0.00390625,0.00390625,2053.443359375,16384.0,5.55078125,24,423.33882739022374,283.6386874979362,51.95245910808444,77.39430632535368,592.4317798726718,0.5420330196841324,0.3019373043947132,assistant_turn_limit_with_tool_call:2
12,0.439453125,0,0,0,0.0,0.0,1761.86328125,14509.0,5.6015625,18,409.61038851737976,261.77863076422364,56.221379349939525,84.92778789438307,612.472869421268,0.561508109834371,0.30323690017675553,none
13,0.45703125,1,0,1,0.001953125,0.0,1406.89453125,12150.0,5.87890625,24,372.61531927250326,252.54808166623116,43.635251509957016,69.90833676140755,540.8855717298271,0.533051582932353,0.2947030355795043,assistant_turn_limit_with_tool_call:1
14,0.419921875,5,0,5,0.009765625,0.005859375,2017.236328125,16384.0,6.3203125,24,419.11390113364905,285.50527136866003,47.74526451062411,79.37938466761261,578.2297469601709,0.5240090583317026,0.30977275413371724,assistant_turn_limit_with_tool_call:5
15,0.4296875,2,0,2,0.00390625,0.017578125,2198.17578125,16384.0,5.5390625,24,425.3740145713091,287.4800824895501,51.8080190513283,79.8278444185853,611.4131119694918,0.5331400588081515,0.299449423868529,assistant_turn_limit_with_tool_call:2
