run,label,step,tool_call_count_mean,reward_mean
current_sft_final_only,"current SFT init, final-only reward",1,2.3515625,0.482421875
current_sft_final_only,"current SFT init, final-only reward",2,3.5859375,0.41015625
current_sft_final_only,"current SFT init, final-only reward",3,3.646484375,0.46875
current_sft_final_only,"current SFT init, final-only reward",4,4.212890625,0.408203125
current_sft_final_only,"current SFT init, final-only reward",5,3.880859375,0.458984375
current_sft_final_only,"current SFT init, final-only reward",6,4.26171875,0.453125
current_sft_final_only,"current SFT init, final-only reward",7,4.154296875,0.443359375
current_sft_final_only,"current SFT init, final-only reward",8,4.05859375,0.451171875
current_sft_final_only,"current SFT init, final-only reward",9,4.8046875,0.419921875
current_sft_final_only,"current SFT init, final-only reward",10,3.560546875,0.443359375
current_sft_final_only,"current SFT init, final-only reward",11,3.966796875,0.46484375
current_sft_final_only,"current SFT init, final-only reward",12,3.525390625,0.455078125
current_sft_final_only,"current SFT init, final-only reward",13,4.462890625,0.3984375
current_sft_final_only,"current SFT init, final-only reward",14,3.177734375,0.423828125
current_sft_final_only,"current SFT init, final-only reward",15,3.501953125,0.376953125
current_sft_final_only,"current SFT init, final-only reward",16,2.671875,0.482421875
current_sft_final_only,"current SFT init, final-only reward",17,4.734375,0.37890625
current_sft_final_only,"current SFT init, final-only reward",18,4.26171875,0.421875
current_sft_final_only,"current SFT init, final-only reward",19,2.884765625,0.517578125
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",1,2.177734375,0.462890625
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",2,1.943359375,0.43359375
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",3,1.88671875,0.486328125
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",4,2.15234375,0.4453125
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",5,2.11328125,0.484375
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",6,2.138671875,0.44140625
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",7,2.060546875,0.44921875
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",8,2.16015625,0.50390625
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",9,2.26171875,0.419921875
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",10,2.017578125,0.4921875
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",11,2.119140625,0.46875
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",12,2.255859375,0.45703125
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",13,2.0859375,0.443359375
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",14,2.17578125,0.490234375
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",15,1.99609375,0.392578125
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",16,1.98046875,0.421875
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",17,1.9921875,0.466796875
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",18,2.103515625,0.46484375
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",19,2.1953125,0.4375
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",20,2.19140625,0.505859375
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",21,1.935546875,0.43359375
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",22,1.99609375,0.458984375
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",23,1.80078125,0.53515625
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",24,2.12109375,0.4765625
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",25,2.0546875,0.443359375
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",26,2.203125,0.498046875
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",27,2.0859375,0.37890625
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",28,2.57421875,0.42578125
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",29,2.2109375,0.453125
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",30,2.474609375,0.482421875
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",31,2.04296875,0.443359375
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",32,2.056640625,0.37890625
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",33,2.240234375,0.466796875
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",34,2.19921875,0.54296875
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",35,2.091796875,0.48828125
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",36,2.130859375,0.486328125
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",37,2.078125,0.4453125
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",38,2.048828125,0.498046875
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",39,1.880859375,0.43359375
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",40,2.330078125,0.45703125
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",41,2.173828125,0.51171875
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",42,2.18359375,0.455078125
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",43,2.283203125,0.423828125
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",44,2.263671875,0.4140625
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",45,2.109375,0.509765625
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",46,2.1875,0.484375
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",47,2.177734375,0.39453125
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",48,2.435546875,0.501953125
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",49,2.212890625,0.462890625
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",50,2.37109375,0.4609375
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",51,2.224609375,0.50390625
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",52,2.31640625,0.486328125
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",53,2.234375,0.46875
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",54,2.44921875,0.45703125
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",55,2.10546875,0.462890625
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",56,2.31640625,0.421875
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",57,2.1640625,0.509765625
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",58,2.205078125,0.478515625
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",59,2.28515625,0.4609375
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",60,2.38671875,0.451171875
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",61,2.50390625,0.46875
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",62,2.240234375,0.484375
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",63,2.30859375,0.42578125
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",64,2.189453125,0.5078125
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",65,2.7734375,0.4453125
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",66,2.484375,0.45703125
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",67,2.5546875,0.396484375
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",68,2.515625,0.404296875
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",69,2.244140625,0.51953125
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",70,2.62890625,0.400390625
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",71,2.7109375,0.41015625
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",72,2.1875,0.478515625
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",73,2.283203125,0.443359375
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",74,2.48828125,0.47265625
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",75,2.41796875,0.44140625
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",76,2.486328125,0.54296875
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",77,2.3984375,0.47265625
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",78,2.328125,0.45703125
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",79,2.7578125,0.45703125
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",80,2.6015625,0.447265625
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",81,2.4921875,0.4609375
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",82,2.5234375,0.447265625
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",83,2.478515625,0.4609375
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",84,2.26953125,0.509765625
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",85,2.52734375,0.48828125
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",86,2.369140625,0.455078125
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",87,2.708984375,0.47265625
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",88,2.830078125,0.451171875
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",89,2.958984375,0.443359375
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",90,3.298828125,0.431640625
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",91,2.62890625,0.41796875
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",92,2.51171875,0.412109375
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",93,2.69921875,0.501953125
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",94,2.712890625,0.4609375
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",95,2.748046875,0.412109375
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",96,3.03125,0.482421875
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",97,2.78125,0.4375
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",98,2.73828125,0.509765625
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",99,2.380859375,0.505859375
base_final_sentence_0529,"base init, final-sentence prompt, no-exceed mask off",100,3.369140625,0.41796875
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",1,1.814453125,0.50390625
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",2,1.82421875,0.501953125
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",3,1.93359375,0.466796875
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",4,1.92578125,0.42578125
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",5,1.912109375,0.46484375
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",6,2.212890625,0.451171875
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",7,2.173828125,0.47265625
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",8,1.91796875,0.447265625
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",9,1.955078125,0.490234375
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",10,2.087890625,0.3828125
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",11,1.890625,0.46875
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",12,1.962890625,0.4296875
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",13,2.0234375,0.482421875
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",14,2.125,0.416015625
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",15,1.828125,0.404296875
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",16,1.9140625,0.423828125
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",17,2.0546875,0.4375
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",18,1.740234375,0.42578125
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",19,1.951171875,0.388671875
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",20,1.765625,0.455078125
